Nutzung - daamob;Nutzung - VM_froehlich;Nutzung - Terminallizenzserver;Nutzung - VM-carlos-neu-win;Nutzung - ownCloud-TEST;Nutzung - management;Nutzung - cloudstorage;Nutzung - droidcandy;Nutzung - groupware;Nutzung - MaPBiquitous;Nutzung - percol;Nutzung - Promotionsinfosys;Nutzung - promotionsinfosys2;Nutzung - VM_Zille;Nutzung - vm-amcs-dev;Nutzung - vm-carlos-neu;Nutzung - vm-wiki-haec;Nutzung - VM-collabware;Nutzung - VM-SAP-Lehre;Nutzung - VM-mobilephonesensing;Nutzung - buddelflink;Nutzung - VM-Gleichstellung;Nutzung - VM-wutzler;Nutzung - VM-IoT-Praktikum;Nutzung - vm-svn-backup;Nutzung - VM-Cyface;Nutzung - VM-Kubica;Nutzung - VM-Czechmann;Nutzung - VM-Fetzer1;Nutzung - VM-Fetzer2;Nutzung - openresearchdata-zih;Nutzung - effingo-vm-zih;Nutzung - VM-Percol-neu;Nutzung - VM-Haufe;Nutzung - FlexCloudFreeNAS;Nutzung - Matlab
0.39;2;0.97;0.54;0.33;0.77;0.92;0.42;0.42;4.76;100;0.69;0.76;100;0.12;0.2;0.99;100;0.76;0.37;0.48;0.35;0.18;0.54;0.25;13.94;0.39;1.33;0.55;0.5;1.6;0.91;0.73;2.52;1.54;0.77
0.52;3.84;0.78;0.59;0.51;0.88;1.42;0.61;0.56;4.83;100;0.85;1.06;98.3;0.12;0.31;0.96;99.19;0.77;0.52;0.81;0.47;0.28;0.65;0.43;15.34;0.39;1.45;0.63;0.63;1.64;1.12;1;2.43;1.62;2.1
0.14;6.12;0.56;0.42;0.24;0.48;0.6;0.29;0.29;4.69;100;0.47;0.54;100;0.08;0.15;0.75;100;0.61;0.18;0.28;0.23;0.17;0.41;0.12;15.33;0.33;1.22;0.36;0.36;1.53;0.83;0.66;5.27;1.68;1.65
0.19;1.96;0.58;0.52;0.28;0.46;0.48;0.34;0.24;4.85;100;0.57;0.78;100;0.09;0.14;0.71;99.46;0.6;0.15;0.22;0.18;0.09;0.42;0.24;14.47;0.37;1.07;0.39;0.38;1.49;0.87;0.55;2;1.06;0.53
0.13;1.93;0.52;0.37;0.27;0.56;0.49;0.29;0.29;4.69;99.48;0.48;0.73;100;0.1;0.09;0.7;99.35;0.57;0.19;0.17;0.17;0.14;0.41;0.06;13.81;0.27;1.08;0.35;0.33;1.43;0.89;0.54;1.99;1.25;0.44
0.44;8.63;0.71;0.56;0.4;0.64;1.12;0.51;0.5;4.96;97.79;0.69;0.68;98.3;0.12;0.25;0.9;99.45;0.75;0.45;0.55;0.39;0.25;0.58;0.38;11.79;0.43;1.36;0.54;0.55;1.27;1.04;1;2.42;1.75;0.76
0.41;2.3;0.86;0.68;0.46;0.75;1.22;0.61;0.49;5.09;100;0.75;0.92;100;0.12;0.24;0.97;100;0.85;0.44;0.71;0.41;0.22;0.58;0.31;8.36;0.4;1.31;0.58;0.61;1.63;0.99;0.98;2.24;1.66;0.76
0.13;1.78;0.51;0.33;0.18;0.53;0.48;0.23;0.24;4.58;100;0.46;0.71;100;0.08;0.11;0.75;100;0.74;0.15;0.18;0.17;0.13;0.39;0.18;12.57;0.3;1.15;0.32;0.31;1.45;0.87;0.48;2.43;1.09;0.39
0.13;7.11;0.59;0.35;0.28;0.54;0.48;0.36;0.29;4.66;100;0.56;0.55;100;0.1;0.11;0.61;100;0.48;0.17;0.24;0.17;0.16;0.44;0.12;11.19;0.27;1.07;0.32;0.32;1.48;0.81;0.54;2.02;3.21;0.41
0.14;2;0.61;0.66;0.23;0.47;2.48;0.3;0.23;4.66;100;0.48;0.68;100;0.07;0.16;0.69;100;0.53;0.13;0.18;0.13;0.06;0.42;0.12;5.87;0.34;16.26;0.34;0.38;1.58;0.86;0.67;1.95;1.18;0.5
0.55;2.07;0.73;0.6;0.48;0.79;2.06;0.49;0.54;4.65;100;0.69;1.01;100;0.12;0.27;0.9;100;0.87;0.53;0.75;0.48;0.26;0.55;0.37;3.51;0.43;1.42;0.63;0.6;1.67;1.03;0.94;2.27;1.64;0.74
0.35;5.25;0.8;0.65;0.43;0.63;1.13;0.49;0.48;4.94;100;0.78;0.67;100;0.13;0.24;0.91;100;0.65;0.35;0.51;0.38;0.23;0.53;0.25;6.12;0.39;6.33;0.55;0.49;1.58;1.62;0.8;2.24;1.95;0.59
0.17;3.95;0.75;0.42;0.22;0.56;0.55;0.29;0.35;5.43;100;0.48;0.79;100;0.08;0.13;0.7;100;0.82;0.19;0.17;0.21;0.08;0.46;0.18;10.19;0.27;1.14;0.35;0.39;1.47;0.85;0.55;2.06;1.46;0.55
0.23;1.84;0.45;0.31;0.23;0.55;0.48;0.29;0.28;4.92;100;0.46;0.66;100;0.07;0.11;0.63;100;0.78;0.15;0.18;0.23;0.16;0.4;0.12;12.8;0.24;1.19;0.37;0.37;1.49;0.84;0.54;2.09;1.36;0.46
0.16;1.84;0.54;0.47;0.25;0.45;0.45;0.28;0.33;5.2;100;0.6;0.55;100;0.09;0.15;0.68;100;0.64;0.18;0.3;0.43;0.15;0.47;0.18;11.67;0.29;1.08;0.35;0.39;1.53;1.57;0.59;2.05;1.78;0.52
0.51;7.25;0.94;0.72;0.61;0.8;1.52;0.71;0.66;5.2;100;0.82;1.09;100;0.12;0.31;1.04;100;0.97;0.61;0.76;0.56;0.26;0.64;0.42;16.72;0.51;1.47;0.7;0.65;1.72;1.03;1.09;9.07;1.98;0.8
0.32;2.13;0.64;0.74;0.36;0.69;0.83;0.44;0.41;4.75;100;0.6;0.62;100;0.1;0.23;0.76;100;0.61;0.26;0.45;0.26;0.23;0.48;0.24;14.6;0.33;1.15;0.49;0.51;1.6;0.9;0.61;2.25;1.69;0.55
0.19;1.77;0.59;0.46;0.19;0.47;0.48;0.28;0.17;4.58;100;0.58;0.59;100;0.09;0.12;0.72;100;0.43;0.18;0.19;0.23;0.12;0.45;0.12;14.1;0.24;1.11;0.34;0.34;1.51;0.84;0.54;2.12;1.75;0.33
0.19;7.48;0.55;0.36;0.24;0.52;0.48;0.23;0.29;4.66;100;0.58;0.65;100;0.07;0.12;0.63;100;0.56;0.16;0.23;0.18;0.12;0.47;0.06;14.64;0.31;1.18;0.36;0.38;1.57;1.64;0.49;2.24;1.5;0.5
0.34;1.83;0.63;0.48;0.25;0.68;0.72;0.35;0.41;4.49;100;0.52;0.63;100;0.1;0.15;0.75;100;0.64;0.27;0.33;0.29;0.15;0.47;0.24;14.51;0.3;1.18;0.44;0.41;1.54;0.92;0.79;3.38;1.61;0.44
0.49;2.19;0.89;0.67;0.59;0.76;1.46;0.61;0.68;4.83;100;0.87;0.85;100;0.13;0.34;0.97;100;0.87;0.6;1.02;0.53;0.34;0.62;0.43;13.3;0.46;1.5;0.65;0.71;1.73;4.91;2.24;2.44;2.34;0.79
0.3;6.82;0.7;0.47;0.35;0.63;0.72;0.47;0.35;4.68;100;0.64;0.79;100;0.09;0.2;0.76;100;0.58;0.28;0.38;0.24;0.15;0.5;0.18;9.91;0.34;1.04;0.42;0.42;1.53;0.92;0.71;2.19;1.6;0.61
0.17;2.18;0.47;0.33;0.18;0.51;0.43;0.29;0.22;4.67;100;0.41;0.6;99.98;0.08;0.13;0.7;100;0.57;0.16;0.21;0.21;0.14;0.4;0.25;8.16;0.33;1.16;0.37;0.35;1.54;2.3;0.6;1.94;1.16;0.33
0.18;1.83;0.55;0.38;0.22;0.52;0.42;0.3;0.35;4.82;100;0.61;0.5;100;0.09;0.15;0.64;100;0.48;0.17;0.17;0.17;0.14;0.46;0.12;10.79;0.33;1.1;0.28;0.35;1.45;0.87;0.61;2.01;3.31;0.42
0.29;3.46;0.71;0.48;0.32;0.56;0.92;0.42;0.42;5.01;100;0.62;0.8;100;0.09;0.17;0.79;100;0.7;0.34;0.45;0.32;0.14;0.51;0.25;8.11;0.34;1.24;0.52;0.5;1.54;0.97;0.68;2.11;1.57;0.75
0.5;6.44;0.8;0.67;0.55;0.81;1.4;0.63;0.61;5.33;100;0.73;1.13;100;0.12;0.28;0.94;100;0.85;0.43;0.69;0.5;0.3;0.53;0.38;4.78;0.46;1.43;0.61;0.57;1.66;1.03;1.06;2.37;1.79;0.64
0.26;1.92;0.66;0.37;0.26;0.54;0.6;0.35;0.29;4.89;100;0.54;0.61;100;0.1;0.15;0.68;100;0.44;0.18;0.25;0.17;0.17;0.46;0.12;3.5;0.24;1.08;0.37;0.4;1.49;0.85;0.54;2.22;1.72;0.48
0.13;1.8;0.57;0.37;0.22;0.45;0.42;0.29;0.35;4.99;100;0.6;0.73;100;0.07;0.09;0.64;100;0.58;0.17;0.17;0.17;0.11;0.44;0.18;6.56;0.32;1.08;0.35;0.38;1.44;0.82;0.49;4.88;1.2;0.5
0.18;6.8;0.43;0.35;0.18;0.54;0.49;0.29;0.22;4.56;100;0.48;0.6;100;0.06;0.16;0.71;100;0.56;0.17;0.17;0.23;0.19;0.41;0.12;11.7;0.28;1.07;0.35;0.38;1.5;0.87;0.62;3.28;1.23;0.37
0.4;2.25;0.85;0.76;0.5;0.64;1.17;0.49;0.55;4.94;100;0.72;0.93;100;0.13;0.23;0.85;100;0.74;0.39;0.65;0.35;0.21;0.54;0.31;10.43;0.43;1.43;0.53;0.52;1.62;0.99;0.92;3.2;1.86;0.69
0.47;2.11;0.86;0.73;0.42;0.79;1.35;0.56;0.59;4.95;100;0.8;0.95;100;0.14;0.31;0.96;100;0.74;0.49;0.66;0.41;0.28;0.58;0.43;11.61;0.45;1.35;0.6;0.62;1.64;0.92;0.98;4.04;1.51;0.8
0.19;8.34;0.51;0.31;0.28;0.56;0.42;0.25;0.34;4.64;100;0.49;0.61;100;0.07;0.12;0.68;100;0.59;0.2;0.18;0.19;0.17;0.44;0.12;15.03;0.27;1.12;0.33;0.38;1.56;0.78;0.55;4.26;1.13;0.37
0.19;1.68;0.56;0.41;0.2;0.46;0.54;0.29;0.22;4.72;100;0.61;0.67;100;0.08;0.12;0.63;100;0.49;0.13;0.19;0.23;0.2;0.44;0.12;13.72;0.24;1.17;0.38;0.38;1.51;3.04;0.48;2.14;1.54;0.43
0.19;1.89;0.61;0.35;0.37;0.56;0.54;0.29;0.28;4.76;100;0.51;0.67;100;0.08;0.12;0.8;100;0.54;0.13;0.23;0.18;0.07;0.42;0.12;14.49;0.39;1.07;0.33;0.36;1.51;0.87;0.54;2.07;1.36;0.56
0.48;7.02;0.82;0.66;0.47;0.81;1.23;0.55;0.6;4.67;100;0.75;1;100;0.11;0.26;0.88;100;0.8;0.52;0.69;0.42;0.31;0.58;0.37;15.06;0.39;1.4;0.61;0.59;1.64;1.01;0.96;2.37;1.64;0.58
0.42;2.78;0.87;0.69;0.43;0.69;1.11;0.54;0.48;4.86;99.18;0.75;0.74;100;0.11;0.29;0.83;99.4;0.68;0.44;0.54;0.46;0.25;0.56;0.36;14.9;0.39;1.27;0.52;0.54;1.59;1.01;0.98;2.26;1.95;0.7
0.13;1.97;0.59;0.34;0.23;0.53;0.8;0.23;0.28;4.78;100;0.85;0.74;100;0.09;0.14;0.69;100;0.58;0.42;0.23;0.18;0.09;0.46;0.18;13.58;0.27;1.08;0.34;0.39;1.53;0.85;1.1;2.11;1.08;0.5
0.28;1.81;0.59;0.44;0.28;0.66;0.54;0.35;0.34;4.93;100;0.48;0.59;100;0.06;0.11;0.63;100;0.62;0.15;0.22;0.18;0.14;0.41;0.18;10.47;0.27;1.2;0.36;0.34;1.09;0.87;0.48;1.94;1.16;0.32
0.13;7.09;0.55;0.39;0.23;0.44;0.49;0.29;0.35;4.75;100;0.52;0.61;100;0.09;0.11;0.7;100;0.44;0.19;0.34;0.17;0.22;0.44;0.06;7.47;0.3;1.12;0.33;0.37;1.48;2.15;0.67;2;3.4;0.49
0.52;2.59;0.95;0.64;0.52;0.78;3.12;0.55;0.55;5.05;98.92;0.79;0.96;98.91;0.13;0.29;0.98;99.23;0.86;0.55;0.76;0.5;0.23;0.62;0.44;10.25;0.52;16.68;0.63;0.63;1.75;1.06;1.12;2.3;1.84;0.75
0.37;2.09;0.64;0.6;0.35;0.72;1.46;0.43;0.42;5.03;100;0.58;0.8;100;0.11;0.22;0.77;100;0.69;0.31;0.41;0.29;0.26;0.5;0.25;8.4;0.33;1.24;0.5;0.5;1.62;0.98;0.8;2.13;1.51;0.56
0.18;7.51;0.58;0.35;0.23;0.49;0.42;0.3;0.34;4.7;100;0.63;0.65;100;0.07;0.11;0.71;100;0.5;0.19;0.22;0.18;0.13;0.47;0.18;4.82;0.27;1.1;0.32;0.27;1.47;0.96;0.54;4.14;1.68;0.39
0.22;1.98;0.62;0.61;0.23;0.49;0.48;0.36;0.28;4.71;100;0.53;0.69;100;0.09;0.15;0.69;100;0.58;0.16;0.26;0.17;0.09;0.44;0.12;3.24;0.27;1.16;0.36;0.39;1.51;0.83;0.54;2;1.23;0.57
0.19;1.79;0.58;0.45;0.28;0.65;0.6;0.35;0.41;4.51;100;0.48;0.72;100;0.08;0.09;0.73;100;0.66;0.26;0.29;0.31;0.14;0.41;0.18;7;0.27;1.26;0.38;0.39;1.53;0.85;0.54;2.44;1.44;0.38
0.54;7.46;0.96;0.76;0.54;0.8;1.57;0.56;0.67;5.03;100;0.9;0.81;100;0.14;0.32;0.95;100;0.81;0.58;0.77;0.47;0.34;0.65;0.38;10.8;0.49;1.39;0.65;0.65;1.67;1.11;1.16;2.86;2.2;0.78
0.26;1.97;0.8;0.49;0.4;0.6;0.78;0.42;0.35;4.62;100;0.67;0.98;100;0.09;0.18;0.75;100;0.6;0.28;0.35;0.3;0.15;0.52;0.3;10.4;0.35;1.28;0.48;0.44;1.53;0.9;0.66;8.4;1.33;0.49
0.14;2;0.61;0.36;0.24;0.6;0.41;0.22;0.27;4.46;100;0.51;0.58;100;0.07;0.11;0.74;100;0.54;0.18;0.23;0.19;0.12;0.41;0.12;12.51;0.27;1.03;0.38;0.36;1.52;0.84;0.53;2.07;1.07;0.38
0.19;1.71;0.6;0.37;0.24;0.51;0.48;0.29;0.28;4.64;100;0.53;0.51;100;0.1;0.12;0.69;100;0.44;0.2;0.18;0.24;0.17;0.46;0.12;12.52;0.3;1.11;0.36;0.39;1.48;0.83;0.6;2.05;1.62;0.44
0.34;7.24;0.71;0.53;0.36;0.62;0.91;0.41;0.4;4.68;100;0.64;0.92;100;0.1;0.19;0.74;100;0.68;0.3;0.44;0.25;0.12;0.52;0.24;12.72;0.3;1.26;0.5;0.41;1.61;1.63;0.74;2.34;1.34;0.54
0.49;2.1;1.19;0.72;0.53;0.89;1.34;0.72;0.61;4.56;100;0.76;0.9;100;0.12;0.32;1;100;0.81;0.59;0.79;0.48;0.33;0.56;0.37;12.61;0.42;1.4;0.63;0.66;1.69;1;0.98;5.55;1.71;0.74
0.2;1.96;0.63;0.47;0.36;0.55;0.6;0.24;0.29;5.08;100;0.61;0.66;100;0.11;0.15;0.73;100;0.45;0.25;0.28;0.24;0.18;0.52;0.18;10.86;0.3;1.15;0.38;0.41;1.54;0.89;0.66;2.1;1.72;0.45
0.14;8.44;0.62;0.37;0.24;0.52;0.48;0.28;0.23;4.69;100;0.56;0.68;100;0.07;0.12;0.58;100;0.56;0.13;0.23;0.19;0.07;0.44;0.12;15.75;0.34;1.1;0.36;0.34;1.5;0.82;0.55;2.06;1.21;0.53
0.14;1.85;0.52;0.38;0.25;0.56;0.42;0.29;0.34;4.47;100;0.42;0.56;100;0.09;0.14;0.74;100;0.62;0.19;0.19;0.23;0.15;0.42;0.18;15.91;0.3;1.07;0.34;0.39;1.55;2.07;0.42;2.02;1.29;0.38
0.42;2.09;0.84;0.64;0.36;0.73;1.16;0.49;0.43;4.82;100;0.75;0.77;100;0.1;0.2;0.9;100;0.62;0.39;0.57;0.4;0.23;0.53;0.37;15.01;0.39;1.39;0.57;0.53;1.59;1.04;0.92;5.59;3.47;0.56
0.46;7.19;0.87;0.85;0.55;0.75;1.36;0.56;0.56;4.89;100;0.87;0.89;99.66;0.12;0.29;0.9;98.22;0.78;0.44;0.61;0.49;0.23;0.6;0.38;10.4;0.44;1.36;0.63;0.58;1.66;1.03;1.05;4.18;1.78;0.77
0.19;1.77;0.51;0.47;0.25;0.63;0.48;0.35;0.34;4.47;100;0.5;0.88;100;0.09;0.12;0.69;100;0.66;0.2;0.32;0.23;0.15;0.42;0.21;11.66;0.33;1.14;0.33;0.35;1.48;1.31;0.62;4.76;1.19;0.37
0.23;2.38;0.6;0.34;0.23;0.48;0.49;0.35;0.34;4.69;100;0.52;0.6;100;0.09;0.16;0.68;100;0.44;0.17;0.21;0.17;0.17;0.46;0.18;8.71;0.3;1.13;0.38;0.36;1.5;1.61;0.55;2.05;1.57;0.58
0.14;5.6;0.57;0.44;0.24;0.55;0.48;0.34;0.29;4.68;100;0.51;0.65;100;0.07;0.13;0.74;100;0.56;0.15;0.17;0.17;0.11;0.46;0.06;5.14;0.33;1;0.3;0.33;1.52;0.83;0.61;2.01;1.2;0.45
0.39;4.05;0.83;0.6;0.49;0.76;1.22;0.51;0.6;4.62;100;0.69;0.82;100;0.13;0.23;0.9;100;0.74;0.45;0.64;0.49;0.28;0.57;0.37;3.24;0.37;1.39;0.62;0.59;1.59;0.96;0.85;3.61;1.66;0.57
0.49;2;0.81;0.58;0.4;0.65;1.16;0.51;0.54;4.91;100;0.68;0.75;100;0.12;0.25;0.84;100;0.75;0.44;0.65;0.4;0.27;0.52;0.38;6.65;0.45;1.3;0.5;0.56;1.63;1.93;0.99;5.21;2.1;0.68
0.14;1.78;0.57;0.4;0.24;0.58;0.55;0.29;0.28;4.61;100;0.59;0.65;100;0.09;0.12;0.7;100;0.54;0.16;0.3;0.22;0.07;0.47;0.12;10.94;0.31;1.07;0.39;0.33;1.5;0.86;0.55;2.98;1.29;0.56
0.19;7.49;0.56;0.36;0.29;0.56;0.54;0.29;0.29;4.47;100;0.46;0.52;100;0.08;0.14;0.62;100;0.49;0.15;0.18;0.23;0.17;0.43;0.12;9.57;0.24;1.08;0.35;0.38;1.52;0.87;0.54;5.17;1.37;1.99
0.14;1.68;0.62;0.46;0.24;0.47;0.53;0.23;0.28;10.83;100;0.54;0.61;100;0.11;0.15;0.7;100;0.44;0.23;0.19;0.18;0.17;0.46;0.18;11.56;0.28;1.14;0.37;0.39;1.48;0.67;0.54;2.11;1.7;1.57
0.47;2.23;0.91;0.69;0.56;0.85;1.37;0.61;0.67;5.38;99.79;0.79;1;100;0.11;0.31;0.97;100;0.88;0.47;0.75;0.46;0.2;0.66;0.37;14.76;0.5;1.45;0.62;0.62;1.66;1;1.11;2.37;1.89;0.87
0.37;7.95;0.61;0.54;0.43;0.74;0.96;0.55;0.42;4.74;100;0.68;0.67;100;0.1;0.2;0.78;100;0.79;0.38;0.49;0.37;0.26;0.5;0.25;14.38;0.36;1.27;0.51;0.49;1.69;0.93;0.73;2.31;1.65;0.49
0.18;1.87;0.69;0.41;0.24;0.46;0.55;0.22;0.28;4.75;100;0.51;0.54;100;0.09;0.12;0.68;100;0.37;0.16;0.19;0.19;0.19;0.45;0.12;13;0.3;1.12;0.36;0.33;1.45;0.85;0.6;1.99;1.62;0.49
0.19;1.68;0.73;0.41;0.19;0.61;0.42;0.29;0.28;4.71;100;0.57;0.62;100;0.06;0.16;0.72;100;0.6;0.13;0.23;0.28;0.04;0.44;0.24;13.94;0.27;1;0.38;0.38;1.55;0.84;0.6;1.98;1.3;0.5
0.14;8.56;0.63;0.61;0.3;0.53;0.55;0.29;0.34;4.64;100;0.52;0.67;100;0.1;0.15;0.77;100;0.56;0.23;0.28;0.19;0.17;0.42;0.18;15.5;0.33;1.19;0.36;0.42;1.5;3.33;0.6;2.13;1.19;0.43
