Aktiv - daamob;Aktiv - VM_froehlich;Aktiv - Terminallizenzserver;Aktiv - VM-carlos-neu-win;Aktiv - ownCloud-TEST;Aktiv - management;Aktiv - cloudstorage;Aktiv - droidcandy;Aktiv - groupware;Aktiv - MaPBiquitous;Aktiv - percol;Aktiv - Promotionsinfosys;Aktiv - promotionsinfosys2;Aktiv - VM_Zille;Aktiv - vm-amcs-dev;Aktiv - vm-carlos-neu;Aktiv - vm-wiki-haec;Aktiv - VM-collabware;Aktiv - VM-SAP-Lehre;Aktiv - VM-mobilephonesensing;Aktiv - buddelflink;Aktiv - VM-Gleichstellung;Aktiv - VM-wutzler;Aktiv - VM-IoT-Praktikum;Aktiv - vm-svn-backup;Aktiv - VM-Cyface;Aktiv - VM-Kubica;Aktiv - VM-Czechmann;Aktiv - VM-Fetzer1;Aktiv - VM-Fetzer2;Aktiv - openresearchdata-zih;Aktiv - effingo-vm-zih;Aktiv - VM-Percol-neu;Aktiv - VM-Haufe;Aktiv - FlexCloudFreeNAS;Aktiv - Matlab
0;125828;0;167772;0;0;20968;10484;41940;2013264;0;31456;31456;0;0;0;62912;0;178256;20968;20968;0;0;0;0;1006632;41940;167772;0;0;41940;251656;20968;335544;0;125828
83884;125828;0;167772;0;0;20968;10484;41940;2013264;0;31456;31456;0;0;0;62912;0;178256;20968;10484;0;0;0;0;1006632;41940;167772;0;0;41940;83884;20968;293600;0;125828
83884;125828;83884;83884;0;0;20968;10484;41940;2013264;0;31456;31456;0;0;0;62912;0;178256;20968;10484;0;0;0;0;1006632;41940;167772;0;0;41940;83884;20968;293600;0;125828
83884;125828;125828;83884;0;0;20968;10484;41940;1509948;0;31456;31456;0;0;0;73400;0;125828;20968;10484;0;0;0;0;1006632;41940;167772;0;0;20968;83884;20968;293600;0;41940
83884;125828;125828;83884;0;0;20968;10484;41940;1509948;0;31456;31456;0;0;0;73400;0;125828;0;10484;0;0;0;0;838860;41940;167772;0;0;20968;167772;20968;335544;0;41940
83884;83884;125828;83884;20968;0;20968;10484;41940;1509948;0;31456;31456;0;0;0;73400;0;125828;20968;10484;0;0;0;0;838860;41940;209712;0;0;20968;167772;20968;335544;0;41940
83884;83884;41940;83884;20968;0;20968;10484;41940;1845492;0;62912;31456;0;0;0;73400;0;104856;20968;10484;0;0;0;0;838860;41940;209712;0;0;20968;167772;20968;335544;104856;41940
0;83884;41940;125828;20968;0;20968;10484;0;1845492;0;62912;31456;0;0;0;73400;0;104856;20968;10484;0;0;62912;0;1006632;41940;209712;0;0;20968;83884;20968;209712;104856;41940
0;41940;41940;125828;20968;0;20968;10484;0;1845492;0;62912;62912;0;0;0;73400;0;104856;20968;10484;0;0;62912;0;1006632;41940;209712;0;0;20968;83884;20968;209712;104856;41940
0;41940;41940;125828;20968;0;20968;10484;0;1677720;0;62912;62912;0;83884;0;41940;0;83884;20968;10484;0;0;62912;0;1006632;0;209712;0;0;20968;83884;20968;209712;0;83884
