Nutzung - daamob;Nutzung - VM_froehlich;Nutzung - Terminallizenzserver;Nutzung - VM-carlos-neu-win;Nutzung - ownCloud-TEST;Nutzung - management;Nutzung - cloudstorage;Nutzung - droidcandy;Nutzung - groupware;Nutzung - MaPBiquitous;Nutzung - percol;Nutzung - Promotionsinfosys;Nutzung - promotionsinfosys2;Nutzung - VM_Zille;Nutzung - vm-amcs-dev;Nutzung - vm-carlos-neu;Nutzung - vm-wiki-haec;Nutzung - VM-collabware;Nutzung - VM-SAP-Lehre;Nutzung - VM-mobilephonesensing;Nutzung - buddelflink;Nutzung - VM-Gleichstellung;Nutzung - VM-wutzler;Nutzung - VM-IoT-Praktikum;Nutzung - vm-svn-backup;Nutzung - VM-Cyface;Nutzung - VM-Kubica;Nutzung - VM-Czechmann;Nutzung - VM-Fetzer1;Nutzung - VM-Fetzer2;Nutzung - openresearchdata-zih;Nutzung - effingo-vm-zih;Nutzung - VM-Percol-neu;Nutzung - VM-Haufe;Nutzung - FlexCloudFreeNAS;Nutzung - Matlab
5;5;5;5;4;5;4;5;5;5;0;5;5;0;5;5;5;0;5;4;5;4;4;4;4;4;4;5;4;4;5;5;4;5;5;5
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;5;5;5;5;6;5;5;5;0;5;5;0;5;5;5;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;5
3;3;3;3;3;3;3;3;3;3;0;3;3;0;3;3;3;0;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;4;3;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
6;6;6;6;6;6;6;6;6;6;0;6;6;0;6;6;6;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
